id,contract_type/id,contract_type/description/fi,contract_type/description/sv,contract_type/description/en,name/fi,name/sv,name/en,street_address/fi,street_address/sv,street_address/en,municipality,location/type,location/coordinates/0,location/coordinates/1,department/id,department/name/fi,department/name/sv,department/name/en,department/street_address,department/municipality,sort_index,object_type,score,department/street_address/fi,department/street_address/sv,department/street_address/en,period_enabled,clarification_enabled,root_service_node,unit_count/municipality/kauniainen,unit_count/municipality/helsinki,unit_count/total
64256,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Agroksenmäki väestönsuoja,Agroksenmäki befolkningsskyddsrum,Agroksenmäki bomb shelter,Vanha talvitie 18,Gamla vintervägen 18,Vanha talvitie 18,helsinki,Point,24.974937,60.192394,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,0,unit,4.038997,,,,,,,,,
8991,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Eläintarhan kallioväestönsuoja,Djurgårdsvägens bergskyddsrum,Eläintarhantie bomb shelter,Eläintarhantie 9,Djurgårdsvägen 9,Eläintarhantie 9,helsinki,Point,24.939909,60.182262,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,60,unit,1.0037366,,,,,,,,,
8972,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Erottajan väestönsuoja,Skillnadens befolkningsskyddsrum,Erottaja bomb shelter,Yrjönkatu 3a,Georgsgatan 3a,Yrjönkatu 3a,helsinki,Point,24.943378,60.164856,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,8,unit,3.8299935,,,,,,,,,
9009,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Etelä-Kontulan yhteiskalliosuoja,Södra Gårdsbacka gemensamma bergskyddsrum,Etelä-Kontula common bomb shelter,Naapurintie 4-6,Nabovägen 4-6,,helsinki,Point,25.087189,60.232727,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,39,unit,1.179632,,,,,,,,,
66572,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Gesterbyn väestönsuojan budolajien sali,,,Gesterbynkaari,Gesterbynkaari,Gesterbynkaari,kirkkonummi,Point,24.4405,60.13154,fd5f5037-cb78-4ee5-a9af-aa6a222443aa,Sivistys ja vapaa-aikapalvelut,Bildnings- och fritidstjänsterna,Sivistys ja vapaa-aikapalvelut,,kirkkonummi,27,unit,1.6296419,,,,,,,,,
9002,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Graniittitien yhteiskalliosuoja,Granitvägens gemensamma bergskyddsrum,Graniittitie common bomb shelter,Graniittitie 3-5,Granitvägen 3-5,,helsinki,Point,25.008036,60.23441,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,47,unit,1.1399947,,,,,,,,,
8973,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Hakaniemen metroaseman yleinen väestönsuoja,Allmänna befolkningsskyddsrummet på Hagnäs metrostation,Hakaniemi Metro Station public bomb shelter,Hakaniemen metroasema,Hagnäs metrostation,,helsinki,Point,24.949787,60.17945,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,16,unit,3.2060342,,,,,,,,,
9003,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Herttoniemenrannan yhteiskalliosuoja,Hertonäs strands gemensamma bergskyddsrum,Herttoniemenranta common bomb shelter,Laivalahdenkaari 27,Båtsviksbågen 27,,helsinki,Point,25.03216,60.186897,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,42,unit,1.1538922,,,,,,,,,
9005,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Itä-Pasilan yhteiskalliosuoja,Östra Böle gemensamma bergskyddsrum,Itä-Pasila common bomb shelter,Kumpulantie 2,Gumtäktsvägen 2,,helsinki,Point,24.940119,60.19677,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,33,unit,1.1914651,,,,,,,,,
9004,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Itäkeskuksen uimahallin yhteiskalliosuoja,Östra centrums simhalls gemensamma bergskyddsrum,Common bomb shelter at Itäkeskus Swimming Hall,Olavinlinnantie 6,Olofborgsvägen 6,,helsinki,Point,25.076853,60.212772,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,40,unit,1.179632,,,,,,,,,
9006,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Jakomäen yhteiskalliosuoja,Jakobacka gemensamma bergskyddsrum,Jakomäki common bomb shelter,Jakomäentie 6-8,Jakobackavägen 6-8,Jakomäentie 6-8,helsinki,Point,25.070518,60.256664,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,36,unit,1.1799598,,,,,,,,,
8992,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Johanneksen puisto kallioväestönsuoja,Johanneksen puiston bergskyddsrum,Johanneksen puisto's bomb shelter,Laivurinrinne 5,Skepparebrinken 5,Laivurinrinne 5,helsinki,Point,24.94332,60.161774,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,58,unit,1.0128112,,,,,,,,,
64293,private_service,yksityinen palvelu,privat tjänst,private service,Jätkäsaaren Rokkiparkki - väestönsuoja,Jätkäsaaren Rokkiparkki befolkningsskyddsrum,Jätkäsaaren Rokkiparkki bomb shelter,Välimerenkatu 12,Medelhavsgatan 12,Välimerenkatu 12,helsinki,Point,24.91631,60.159103,7bc1cb18-1231-44ae-936f-18f29e31895e,Jätkäsaaren Pysäköinti Oy,Busholmens Parkering Ab,Jätkäsaaren Pysäköinti Oy,,,25,unit,1.6659161,Välimerenkatu 12,,,,,,,,
8993,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kaisaniemen metroaseman kallioväestönsuoja,Bergskyddsrummet på Kajsaniemi metrostation,Kaisaniemi Metro Station bomb shelter,Helsingin yliopiston metroasema,Helsingfors universitet metrostation,Helsingin yliopiston metroasema,helsinki,Point,24.9479,60.171528,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,56,unit,1.037806,,,,,,,,,
8994,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kaisaniemi-Kluuvin kallioväestönsuoja,Bergskyddsrummet Kajsaniemi-Gloet,Kaisaniemi-Kluuvi bomb shelter,Fabianinkatu 29,Fabiansgatan 29,,helsinki,Point,24.94959,60.168148,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,52,unit,1.0469841,,,,,,,,,
8974,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kampin metroaseman yleinen väestönsuoja,Allmänna befolkningsskyddsrummet på Kampens metrostation,Kamppi Metro Station public bomb shelter,Kampin metroasema,Kampens metrostation,,helsinki,Point,24.930206,60.16853,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,13,unit,3.3459883,,,,,,,,,
8995,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kamppi-Forumin kallioväestönsuoja,Bergskyddsrummet Kampen-Forum,Kamppi-Forum bomb shelter,Simonkatu 3,Simonsgatan 3,,helsinki,Point,24.936195,60.169315,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,54,unit,1.0381023,,,,,,,,,
8975,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kanavapuiston väestönsuoja,Kanalparkens befolkningsskyddsrum,Kanavapuisto bomb shelter,Katajanokanlaituri 3a,Skatuddskajen 3a,Katajanokanlaituri 3a,helsinki,Point,24.958776,60.16767,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,1,unit,3.9738328,,,,,,,,,
